Subject Name,Sample ID,Project,Nucleic acid,Species,Cell type,Photoperiod,Diet,zTime,Hours from lights off,ExT,Sex,cage number,Extraction protocol,"Extraction pool (A,B,C)",Library protocol,Library Pool,Sequencing Lane
24_3,0101_18,Seasonal Study,RNA,Mouse,Liver,SL,HFD,4,22,13,Male,24,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
5_2,0101_19,Seasonal Study,RNA,Mouse,Liver,SL,HFD,20,14,5,Male,5,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
20_6,0101_2,Seasonal Study,RNA,Mouse,Liver,SL,LFD,4,22,13,Male,20,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
20_4,0101_20,Seasonal Study,RNA,Mouse,Liver,SL,LFD,8,2,17,Male,20,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
4_3,0101_21,Seasonal Study,RNA,Mouse,Liver,SL,LFD,16,10,1,Male,4,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
10_3,0101_22,Seasonal Study,RNA,Mouse,Liver,EL,HFD,4,16,10,Male,10,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
24_4,0101_23,Seasonal Study,RNA,Mouse,Liver,SL,HFD,8,2,17,Male,24,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
6_5,0101_24,Seasonal Study,RNA,Mouse,Liver,EL,HFD,8,20,14,Male,6,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
20_2,0101_25,Seasonal Study,RNA,Mouse,Liver,SL,LFD,8,2,17,Male,20,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
24_1,0101_26,Seasonal Study,RNA,Mouse,Liver,SL,HFD,20,14,5,Male,24,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,1,2
9_2,0101_27,Seasonal Study,RNA,Mouse,Liver,LL,LFD,12,18,15,Male,9,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
16_6,0101_28,Seasonal Study,RNA,Mouse,Liver,LL,HFD,4,10,7,Male,16,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,1,2
10_2,0101_29,Seasonal Study,RNA,Mouse,Liver,EL,HFD,0,12,6,Male,10,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
8_5,0101_3,Seasonal Study,RNA,Mouse,Liver,LL,HFD,20,2,23,Male,8,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
